ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,ALCALDE DISTRITAL,HELDA,MOLINARI,TRAUCO,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,REGIDOR DISTRITAL,DELBER,HORNA,TORO,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,REGIDOR DISTRITAL,HIPOLITO,MAS,CHAMOLI,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,REGIDOR DISTRITAL,LINDER,CAMUS,SOPLA,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,REGIDOR DISTRITAL,TESALONICA CAMUS,DE,CULQUI,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,REGIDOR DISTRITAL,CLORIS,PILCO,MASLUCAN,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,ROMULO FLUMENCIO,VARGAS,MAS,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,JUSTO,GOÑAS,VALLE,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,LLONI,PILCO,ALEGRIA,F
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,LEONARDO,PUERTA,VARGAS,M
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIDOR DISTRITAL,ELVIA,SOPLA,GOÑAS,F
