ubigeo,departamento,provincia,distrito,organizacion_politica,cargo,nombres,apellido_paterno,apellido_materno,sexo,total_votos,posicion_cedula,origen_apellido,ganador
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,HEBERT,MAS,CAMUS,M,115.0,2.0,CASTELLANO,1
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,GUILLERMO,NUÑEZ,MASLUCAN,M,49.0,3.0,CASTELLANO,0
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,ALCALDE DISTRITAL,JAIME,CAMUS,CHASQUIBOL,M,31.0,1.0,CASTELLANO,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,ROBERTO,COTRINA,CHAVEZ,M,348.0,3.0,CASTELLANO,1
010103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALCALDE DISTRITAL,EUGENIO ESLIVAN,TIRADO,ORTIZ,M,207.0,1.0,CASTELLANO,0
010103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JOSE DEMETRIO,BAZAN,TUESTA,M,98.0,2.0,CASTELLANO,0
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,ULISES,SANTILLAN,TEJADA,M,135.0,3.0,CASTELLANO,1
010104,AMAZONAS,CHACHAPOYAS,CHETO,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALCALDE DISTRITAL,ALAN HOMERO,CULQUIMBOZ,HUAMAN,M,134.0,1.0,CASTELLANO,0
010104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,EDWIN,ROJAS,LOJA,M,106.0,2.0,CASTELLANO,0
010104,AMAZONAS,CHACHAPOYAS,CHETO,UNIDAD Y DEMOCRACIA DE AMAZONAS,ALCALDE DISTRITAL,MERLIN,SANTILLAN,MORI,F,33.0,4.0,CASTELLANO,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALCALDE DISTRITAL,MARIO ANTONIO,MAS,PINEDO,M,212.0,1.0,CASTELLANO,1
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,JUAN ARILEZ,PILCO,QUIROZ,M,89.0,3.0,AYMARA,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,AROLDO,ARISTA,MAS,M,83.0,5.0,CASTELLANO,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,RODOMIRO,CHECAN,JIMENEZ,M,50.0,4.0,CASTELLANO,0
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,ALCALDE DISTRITAL,SANTOS WILMAN,CHASQUIBOL,QUIROZ,M,30.0,2.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,HECTOR,DIAZ,AÑASCO,M,242.0,5.0,CASTELLANO,1
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALCALDE DISTRITAL,ALEJANDRO,ZELADA,ABANTO,M,238.0,2.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,CELSO LEUMAN,PORTAL,BUSTAMANTE,M,162.0,6.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,UNIDAD Y DEMOCRACIA DE AMAZONAS,ALCALDE DISTRITAL,WINDER SEGUNDO,VEGA,PORTAL,M,105.0,7.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO,ALCALDE DISTRITAL,GILMER AQUILES,VERGARAY,JAUREGUI,M,62.0,3.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,ALCALDE DISTRITAL,AURELIA NOEMI,AGUIRRE,ZABALETA,F,26.0,1.0,CASTELLANO,0
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,EXALTACION,OCAMPO,VILLAR,M,13.0,4.0,CASTELLANO,0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,TONI ROLAND,HUAMAN,SOPLA,M,143.0,4.0,QUECHUA,1
010107,AMAZONAS,CHACHAPOYAS,GRANADA,ALIANZA REGIONAL JUNTOS POR AMAZONAS,ALCALDE DISTRITAL,ENOC,PILCO,VALLE,M,104.0,1.0,AYMARA,0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,JADY MARITZA,LAPIZ,GASLAC,M,34.0,3.0,CASTELLANO,0
010107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,FELICISIMO,PINEDO,CULQUI,M,33.0,2.0,CASTELLANO,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,ALCALDE DISTRITAL,ASUNCION,INGA,CRUZ,M,105.0,4.0,CASTELLANO,1
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,ALCALDE DISTRITAL,FELIPE,ROJAS,VARGAS,M,58.0,3.0,CASTELLANO,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,UNION POR EL PERU,ALCALDE DISTRITAL,JUAN,CULQUI,PUSCAN,M,37.0,7.0,CASTELLANO,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,ALCALDE DISTRITAL,NELSON ANTONIO,HERRERA,ALVA,M,35.0,2.0,CASTELLANO,0
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,PARTIDO APRISTA PERUANO,ALCALDE DISTRITAL,EDUARDO FAUSTO,DILAS,CERNA,M,24.0,5.0,CASTELLANO,0
